name,circulating_supply,max_supply,symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percentage_change_1h,percentage_change_24h,percentage_change_7d,price,volume_24h
GeoDB,27042250,350000000,GEO,3648172,-9.65825117696565,-9.47016633521561,-14.7757005669431,-9.65825117696565,-9.47016633521561,-14.7757005669431,0.11889,62853
GermanCoin,0,100000000000,GCX,0,0.0,-8.27957924361164,-99.3927589116547,0.0,-8.27957924361164,-99.3927589116547,1.112e-05,0
GES,0,500000000,GES,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00100207,17
Geyser,6354767,10000000,GYSR,1539992,0.770520169230149,-6.40147585321074,36.2307830218582,0.770520169230149,-6.40147585321074,36.2307830218582,0.243981,137100
GHOST,16976910,55000000,GHOST,7650816,1.38842540048146,-2.71256315850749,-15.7190888002392,1.38842540048146,-2.71256315850749,-15.7190888002392,0.452635,220959
GHOSTPRISM,3493574,175000000,GHOST,1424173,0.689434502401063,0.283739529019045,20.6687501837401,0.689434502401063,0.283739529019045,20.6687501837401,0.410466,18
Giftedhands,0,200000000,GHD,0,0.0478196997207515,-26.6859660680902,-40.0884819777421,0.0478196997207515,-26.6859660680902,-40.0884819777421,0.00037575,39932
GLEX,0,1212000000,GLEX,0,15.703400769119,10.4596063646536,32.9239734127459,15.703400769119,10.4596063646536,32.9239734127459,0.00036389,1823
Global Gaming,0,10000000000,GMNG,0,-9.97445577709749,-18.3003860377648,-18.3889545032513,-9.97445577709749,-18.3003860377648,-18.3889545032513,0.0002674,12062
Global Human Trust,0,50000000,GHT,0,-0.353459845372032,-0.0447610480836023,-0.387047453359798,-0.353459845372032,-0.0447610480836023,-0.387047453359798,43.75,61386
Global Smart Asset,0,9000000,GSA,0,0.0,-9.43005007294483,9.68818164220434,0.0,-9.43005007294483,9.68818164220434,0.57435,64
GLOBALTRUSTFUND TOKEN,0,300000000,GTF,0,-0.223850265649854,-0.0642186748676699,-23.7669053525347,-0.223850265649854,-0.0642186748676699,-23.7669053525347,0.00018978,322
Glox Finance,4766,18000,GLOX,105619,0.0,4.33391084448592,2.0920171266743,0.0,4.33391084448592,2.0920171266743,22.16,38
Glufco,0,10000000,GLF,0,0.0,7.66516216433384,2.21342922696506,0.0,7.66516216433384,2.21342922696506,1.05,162
GM Holding,0,100000000,GM,0,-0.298702566134515,1.72577924150811,111.461336077796,-0.298702566134515,1.72577924150811,111.461336077796,0.00868892,1823
GokuMarket Credit,3213437,50000000,GMC,991107,-2.32028060722159,2.94124589157856,54.2066934541853,-2.32028060722159,2.94124589157856,54.2066934541853,0.30196,249359
Gold BCR,184,3000000,GBCR,56258,0.0,0.0,-66.9315387489393,0.0,0.0,-66.9315387489393,305.3,0
Goldblock,0,10000000000,GBK,0,-0.658286960968224,-0.637951692797979,-2.69270711834098,-0.658286960968224,-0.637951692797979,-2.69270711834098,0.00053564,95799
Gold Cash,0,200000,GOLD,0,0.0,0.0,-55.2729710035113,0.0,0.0,-55.2729710035113,0.110566,1
Gold Coin Reserve,0,3000000,GCR,0,-0.29022601941277,0.0185401945910557,-0.571563681106413,-0.29022601941277,0.0185401945910557,-0.571563681106413,1797.45,26145021
Golden Ratio Token,15465,16180,GRT,20852,-0.319955941107338,-0.0612866881561067,-16.8779362990141,-0.319955941107338,-0.0612866881561067,-16.8779362990141,1.35,335
GoldFinX,0,268103766,GIX,0,0.49020411073387,-2.88906274078203,2.21539168165637,0.49020411073387,-2.88906274078203,2.21539168165637,1.79,14329
Gold Mining Members,0,1000000000,GMM,0,-2.8559450200866,33.8402276358473,-64.2821793715257,-2.8559450200866,33.8402276358473,-64.2821793715257,0.064392,552
Goldnero,0,0,GLDX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04232459,0
Golff,0,499998,GOF,0,2.27717842199506,-1.37978341091374,18.5713067323379,2.27717842199506,-1.37978341091374,18.5713067323379,0.529612,1514251
governance ZIL,419245,722700,GZIL,43050762,1.63456152659437,9.68197146234748,88.7262866084581,1.63456152659437,9.68197146234748,88.7262866084581,102.91,338728
Governor DAO,2946749,3000000,GDAO,1749413,-0.289479039212687,2.13281286850253,20.8971173705143,-0.289479039212687,2.13281286850253,20.8971173705143,0.595687,74703
Grace Period Token,0,10000,GPT,0,0.0,0.0,1.69261870379751,0.0,0.0,1.69261870379751,1214.87,41508
GrafenoCoin,0,100000000000,GFNC,0,0.672977000000393,-8.58455978954135,19.0482271786171,0.672977000000393,-8.58455978954135,19.0482271786171,1.03e-06,1234
Grafsound,0,7000000000,GSMT,0,2.03374726403333,3.9086513575559,7.14872905804814,2.03374726403333,3.9086513575559,7.14872905804814,0.18648,89847
Grain,0,25925548,GRAIN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02231623,0
Grap Finance,0,2430813,GRAP,0,-21.9011127165162,85.6466111857413,106.625088703084,-21.9011127165162,85.6466111857413,106.625088703084,0.119844,280788
Green Light,0,1000000000,GL,0,0.0363175734433598,2.46999448882424,-6.57132998492174,0.0363175734433598,2.46999448882424,-6.57132998492174,0.0001504,2
GROM,0,100000000,GR,0,39.7600132576928,30.0782998731785,-43.6712325064469,39.7600132576928,30.0782998731785,-43.6712325064469,0.00140793,742
Groovy Finance,0,42000,GVY,0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,47
GROWTH DeFi,342286,0,GRO,2994862,1.66249084159656,-13.6810878345378,25.47322517486,1.66249084159656,-13.6810878345378,25.47322517486,8.82,28441
GT STAR Token,0,100000000,GTS,0,0.0,0.0,106.806634308744,0.0,0.0,106.806634308744,0.094237,0
Guapcoin,0,90000000,GUAP,0,-2.77067345155251,-23.829415667604,2.56003787838547,-2.77067345155251,-23.829415667604,2.56003787838547,0.06668,661
Global Utility Smart Digital Token,0,5000000000,GUSDT,0,0.28182372446853,-4.03827510129387,1.73398043434968,0.28182372446853,-4.03827510129387,1.73398043434968,0.099926,1161703
H3X,0,300000000,H3X,0,0.933846783903751,2.74167664842398,-5.37480346106321,0.933846783903751,2.74167664842398,-5.37480346106321,0.00369978,1052
Hacken Token,359074051,1000000000,HAI,35621476,0.487001474830333,-0.177478622697483,3.72114919556417,0.487001474830333,-0.177478622697483,3.72114919556417,0.09932,839091
Hakka Finance,193123010,635982513,HAKKA,4738087,1.10163303473045,1.53026699966548,-1.37844156093712,1.10163303473045,1.53026699966548,-1.37844156093712,0.02445115,290943
Halving Coin,0,3500000,HALV,0,-0.238770770604678,14.440036291846,-17.5888528285868,-0.238770770604678,14.440036291846,-17.5888528285868,0.01030792,1422
Happy Birthday Coin,0,7700000000,HBDC,0,0.410086173668391,14.6427287796926,21.4261954046699,0.410086173668391,14.6427287796926,21.4261954046699,0.00401502,782
HAPY Coin,0,20000000000,HAPY,0,0.0,0.0,-17.9022949501171,0.0,0.0,-17.9022949501171,0.00029274,45125
HARD Protocol,75625000,200000000,HARD,74385271,1.90604923734658,-2.2614439342046,12.9012506274838,1.90604923734658,-2.2614439342046,12.9012506274838,0.984175,15217193
Harrison First,5703841,10000000,FIRST,136219,0.0,0.0,22.4198594894415,0.0,0.0,22.4198594894415,0.02388191,24
Harvest Finance,605159,648267,FARM,152565814,-2.21412196191026,-3.6611721162483,14.2298032582455,-2.21412196191026,-3.6611721162483,14.2298032582455,249.65,26815728
Hash Pot,0,1000000000,HPOT,0,-7.08579121568033,-2.99569114895069,-10.5995054862274,-7.08579121568033,-2.99569114895069,-10.5995054862274,3.212e-05,48
Hatch DAO,0,10000000,HATCH,0,-0.375432147799165,0.369721018677658,10.1515487353638,-0.375432147799165,0.369721018677658,10.1515487353638,0.00939745,380
Hathor,222304344,869464480,HTR,248481377,1.44568971486535,-2.54972776672126,-33.4649935439977,1.44568971486535,-2.54972776672126,-33.4649935439977,1.13,14993278
Hauteclere Shards,34526,34526,HAUT,313051,0.0,0.0,0.0,0.0,0.0,0.0,9.07,0
HBTC Captain Token,19005351,21000000,HBC,225574497,0.0407873584515102,-3.07393020263365,-9.53626761219481,0.0407873584515102,-3.07393020263365,-9.53626761219481,11.86,199927
HDT,0,0,HDT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066119,1
Healing Plus,0,300000000,HP,0,0.0,218.168966458726,0.0,0.0,218.168966458726,0.0,0.01984667,56
HealthChainUS,0,10000000000,HCUT,0,0.0,-0.0311440971999002,-0.108692094145432,0.0,-0.0311440971999002,-0.108692094145432,0.00059126,18
Heavens Gate,0,1997,HATE,0,0.0,0.0,0.0,0.0,0.0,0.0,253.93,391
Hedget,1751448,1751448,HGET,7310518,0.118996974651917,-0.849967789803692,51.4894832548627,0.118996974651917,-0.849967789803692,51.4894832548627,4.16,348128
Hegic,585295614,3012009888,HEGIC,155328950,-6.2511293259805,94.8206178125285,37.4478753082938,-6.2511293259805,94.8206178125285,37.4478753082938,0.257316,483378472
HEIDI,0,12910000,HDI,0,0.0,0.0,0.0,0.0,0.0,0.0,6.192e-05,0
Helgro,0,399999900000000000,HGRO,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4132e-08,0
HELIO POWER TOKEN,0,250000000,THPT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03351837,251
Helium,100539362,223000000,HNT,2935092107,2.82545018515957,-3.48752248063819,-23.5619982982893,2.82545018515957,-3.48752248063819,-23.5619982982893,29.15,34149982
HLP Token,0,30000000,HLP,0,1.34727411755606,-0.690649248387995,23.9840446362904,1.34727411755606,-0.690649248387995,23.9840446362904,1.08,660330
Hermez Network,16706072,94987472,HEZ,150837280,-1.17482192279468,2.30537270203917,42.2532386811664,-1.17482192279468,2.30537270203917,42.2532386811664,8.98,2130563
HXY Money,0,60000000,HXY,0,-0.220247988813501,-6.25679132349267,-18.6077933842207,-0.220247988813501,-6.25679132349267,-18.6077933842207,0.00946614,6345
HEY-BITCOIN,0,2311000000,HYBN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.134901,7
Hiblocks,0,0,HIBS,0,1.16882593148327,-2.70225740305498,6.56386160244912,1.16882593148327,-2.70225740305498,6.56386160244912,0.00222814,283995
HippoFinance,163738,163738,HIPPO,3973,0.766256561774489,-98.175162717357,-98.175162717357,0.766256561774489,-98.175162717357,-98.175162717357,0.02426361,16
Historia,0,0,HTA,0,-0.0632006228738966,13.202393820156,42.3914344077495,-0.0632006228738966,13.202393820156,42.3914344077495,0.00263381,542
Hithotx,0,0,HITX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042369,3
Hive Dollar,4609895,0,HBD,4730926,0.635409253549526,3.00656962232245,8.01848951666791,0.635409253549526,3.00656962232245,8.01848951666791,1.04,71980
Hiveterminal token,359644765,500000000,HVN,3912035,4.75433099670145,-24.2016187922369,89.8878800833876,4.75433099670145,-24.2016187922369,89.8878800833876,0.01096538,45574
Hiz Finance,0,160594,HIZ,0,0.0,0.0,24.4785628045894,0.0,0.0,24.4785628045894,0.16197,1
HLand Token,0,2048,HLAND,0,0.0,5.23001831216777,-0.365451836585268,0.0,5.23001831216777,-0.365451836585268,3.55,703
HodlTree,4592193,100000000,HTRE,1285690,0.0854831358265231,6.28019691925285,-11.7605092990213,0.0854831358265231,6.28019691925285,-11.7605092990213,0.279973,1037
Holdtowin,0,0,7ADD,0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,280
Holistic BTC Set,0,3,TCAPBTCUSDC,0,0.0,0.0,0.0,0.0,0.0,0.0,318.62,1195
